STATION,year,month,PRCP_sum,TMAX_mean,TMIN_mean,TMEAN,ym
USW00003017,1996,6,1.7399999999999998,85.08333333333333,53.291666666666664,69.1875,1996-06-01
USW00003017,1996,7,1.01,87.96774193548387,58.774193548387096,73.37096774193549,1996-07-01
USW00003017,1996,8,0.56,87.06451612903226,56.12903225806452,71.59677419354838,1996-08-01
USW00003017,1996,9,2.34,74.6,46.9,60.75,1996-09-01
USW00003017,1996,10,0.39,64.90322580645162,36.774193548387096,50.83870967741935,1996-10-01
USW00003017,1996,11,0.38,50.96666666666667,23.4,37.18333333333333,1996-11-01
USW00003017,1996,12,0.06,47.03225806451613,18.903225806451612,32.96774193548387,1996-12-01
USW00003017,1997,1,0.26,39.935483870967744,15.774193548387096,27.85483870967742,1997-01-01
USW00003017,1997,2,0.5399999999999999,40.857142857142854,18.964285714285715,29.910714285714285,1997-02-01
USW00003017,1997,3,0.26,58.54838709677419,25.70967741935484,42.12903225806452,1997-03-01
USW00003017,1997,4,1.3,53.266666666666666,27.7,40.483333333333334,1997-04-01
USW00003017,1997,5,1.5699999999999998,70.80645161290323,42.38709677419355,56.596774193548384,1997-05-01
USW00003017,1997,6,2.5700000000000003,82.13333333333334,53.5,67.81666666666666,1997-06-01
USW00003017,1997,7,5.6,88.38709677419355,57.70967741935484,73.04838709677419,1997-07-01
USW00003017,1997,8,3.52,81.87096774193549,57.38709677419355,69.62903225806451,1997-08-01
USW00003017,1997,9,0.97,78.06666666666666,50.4,64.23333333333333,1997-09-01
USW00003017,1997,10,1.87,63.58064516129032,35.67741935483871,49.62903225806452,1997-10-01
USW00003017,1997,11,0.61,45.8,23.833333333333332,34.81666666666667,1997-11-01
USW00003017,1997,12,0.5,36.74193548387097,19.06451612903226,27.903225806451612,1997-12-01
USW00003017,1998,1,0.05,44.29032258064516,21.032258064516128,32.66129032258065,1998-01-01
USW00003017,1998,2,0.23,44.82142857142857,23.0,33.910714285714285,1998-02-01
USW00003017,1998,3,0.86,50.774193548387096,22.967741935483872,36.87096774193548,1998-03-01
USW00003017,1998,4,2.47,57.6,31.933333333333334,45.0,1998-04-01
USW00003017,1998,5,1.73,75.03225806451613,43.225806451612904,59.41935483870968,1998-05-01
USW00003017,1998,6,0.73,78.73333333333333,47.3,63.36666666666667,1998-06-01
